"Diagnosis (ICD-10)","Sex","Age group","Year","Incidence of psychiatric disorders"
"Mental and behavioural disorders (F00-F98)","Men and women","All age groups","1998",21051
"Mental and behavioural disorders (F00-F98)","Men and women","All age groups","1999",22122
"Mental and behavioural disorders (F00-F98)","Men and women","All age groups","2000",26052
"Mental and behavioural disorders (F00-F98)","Men and women","All age groups","2001",26042
"Mental and behavioural disorders (F00-F98)","Men and women","All age groups","2002",25250
"Mental and behavioural disorders (F00-F98)","Men and women","All age groups","2003",26628
"Mental and behavioural disorders (F00-F98)","Men and women","All age groups","2004",27251
"Mental and behavioural disorders (F00-F98)","Men and women","All age groups","2005",25585
"Mental and behavioural disorders (F00-F98)","Men and women","All age groups","2006",28543
"Mental and behavioural disorders (F00-F98)","Men and women","All age groups","2007",28014
"Mental and behavioural disorders (F00-F98)","Men and women","All age groups","2008",29382
"Mental and behavioural disorders (F00-F98)","Men and women","All age groups","2009",23810
"Mental and behavioural disorders (F00-F98)","Men and women","All age groups","2010",26573
"Mental and behavioural disorders (F00-F98)","Men and women","All age groups","2011",27006
"Mental and behavioural disorders (F00-F98)","Men and women","All age groups","2012",26864
"Mental and behavioural disorders (F00-F98)","Men and women","All age groups","2013",27241
"Mental and behavioural disorders (F00-F98)","Men and women","All age groups","2014",24571
"Mental and behavioural disorders (F00-F98)","Men and women","All age groups","2015",22735
"Mental and behavioural disorders (F00-F98)","Men and women","All age groups","2016",22406
"Mental and behavioural disorders (F00-F98)","Men and women","All age groups","2017",22999
"Mental and behavioural disorders (F00-F98)","Men and women","All age groups","2018",22274
"Mental and behavioural disorders (F00-F98)","Men and women","All age groups","2019",23625
"Mental and behavioural disorders (F00-F98)","Men and women","All age groups","2020",21045
"Mental and behavioural disorders (F00-F98)","Men and women","All age groups","2021",24307
"Mental and behavioural disorders (F00-F98)","Men and women","All age groups","2022",28866
"Mental and behavioural disorders (F00-F98)","Men and women","All age groups","2023",27361
"Mental and behavioural disorders (F00-F98)","Men and women","All age groups","2024",30673
"Mental and behavioural disorders (F00-F98)","Men and women","0","1998",1
"Mental and behavioural disorders (F00-F98)","Men and women","0","1999",1
"Mental and behavioural disorders (F00-F98)","Men and women","0","2000",2
"Mental and behavioural disorders (F00-F98)","Men and women","0","2001",1
"Mental and behavioural disorders (F00-F98)","Men and women","0","2002",2
"Mental and behavioural disorders (F00-F98)","Men and women","0","2003",2
"Mental and behavioural disorders (F00-F98)","Men and women","0","2004",3
"Mental and behavioural disorders (F00-F98)","Men and women","0","2005",1
"Mental and behavioural disorders (F00-F98)","Men and women","0","2006",6
"Mental and behavioural disorders (F00-F98)","Men and women","0","2007",0
"Mental and behavioural disorders (F00-F98)","Men and women","0","2008",4
"Mental and behavioural disorders (F00-F98)","Men and women","0","2009",2
"Mental and behavioural disorders (F00-F98)","Men and women","0","2010",1
"Mental and behavioural disorders (F00-F98)","Men and women","0","2011",0
"Mental and behavioural disorders (F00-F98)","Men and women","0","2012",0
"Mental and behavioural disorders (F00-F98)","Men and women","0","2013",0
"Mental and behavioural disorders (F00-F98)","Men and women","0","2014",1
"Mental and behavioural disorders (F00-F98)","Men and women","0","2015",0
"Mental and behavioural disorders (F00-F98)","Men and women","0","2016",0
"Mental and behavioural disorders (F00-F98)","Men and women","0","2017",2
"Mental and behavioural disorders (F00-F98)","Men and women","0","2018",0
"Mental and behavioural disorders (F00-F98)","Men and women","0","2019",0
"Mental and behavioural disorders (F00-F98)","Men and women","0","2020",1
"Mental and behavioural disorders (F00-F98)","Men and women","0","2021",0
"Mental and behavioural disorders (F00-F98)","Men and women","0","2022",2
"Mental and behavioural disorders (F00-F98)","Men and women","0","2023",0
"Mental and behavioural disorders (F00-F98)","Men and women","0","2024",0
"Mental and behavioural disorders (F00-F98)","Men and women","1-4","1998",529
"Mental and behavioural disorders (F00-F98)","Men and women","1-4","1999",500
"Mental and behavioural disorders (F00-F98)","Men and women","1-4","2000",552
"Mental and behavioural disorders (F00-F98)","Men and women","1-4","2001",512
"Mental and behavioural disorders (F00-F98)","Men and women","1-4","2002",560
"Mental and behavioural disorders (F00-F98)","Men and women","1-4","2003",570
"Mental and behavioural disorders (F00-F98)","Men and women","1-4","2004",558
"Mental and behavioural disorders (F00-F98)","Men and women","1-4","2005",612
"Mental and behavioural disorders (F00-F98)","Men and women","1-4","2006",662
"Mental and behavioural disorders (F00-F98)","Men and women","1-4","2007",685
"Mental and behavioural disorders (F00-F98)","Men and women","1-4","2008",647
"Mental and behavioural disorders (F00-F98)","Men and women","1-4","2009",399
"Mental and behavioural disorders (F00-F98)","Men and women","1-4","2010",598
"Mental and behavioural disorders (F00-F98)","Men and women","1-4","2011",551
"Mental and behavioural disorders (F00-F98)","Men and women","1-4","2012",520
"Mental and behavioural disorders (F00-F98)","Men and women","1-4","2013",442
"Mental and behavioural disorders (F00-F98)","Men and women","1-4","2014",357
"Mental and behavioural disorders (F00-F98)","Men and women","1-4","2015",296
"Mental and behavioural disorders (F00-F98)","Men and women","1-4","2016",273
"Mental and behavioural disorders (F00-F98)","Men and women","1-4","2017",244
