"Educational level","Age","Year","Fathers' age"
"All levels of education","All age groups","1992",18031
"All levels of education","All age groups","1993",15107
"All levels of education","All age groups","1994",14025
"All levels of education","All age groups","1995",13340
"All levels of education","All age groups","1996",13109
"All levels of education","All age groups","1997",12491
"All levels of education","All age groups","1998",12072
"All levels of education","All age groups","1999",12333
"All levels of education","All age groups","2000",12983
"All levels of education","All age groups","2001",12539
"All levels of education","All age groups","2002",12890
"All levels of education","All age groups","2003",12932
"All levels of education","All age groups","2004",13868
"All levels of education","All age groups","2005",14230
"All levels of education","All age groups","2006",14731
"All levels of education","All age groups","2007",15651
"All levels of education","All age groups","2008",15837
"All levels of education","All age groups","2009",15602
"All levels of education","All age groups","2010",15753
"All levels of education","All age groups","2011",14706
"All levels of education","All age groups","2012",14160
"All levels of education","All age groups","2013",13780
"All levels of education","All age groups","2014",13620
"All levels of education","All age groups","2015",13873
"All levels of education","All age groups","2016",13828
"All levels of education","All age groups","2017",13441
"All levels of education","All age groups","2018",14044
"All levels of education","All age groups","2019",13735
"All levels of education","All age groups","2020",12849
"All levels of education","All age groups","2021",12902
"All levels of education","All age groups","2022",11396
"All levels of education","All age groups","2023",10631
"All levels of education","All age groups","2024",9404
"All levels of education","10-14","1992",1
"All levels of education","10-14","1993",0
"All levels of education","10-14","1994",1
"All levels of education","10-14","1995",0
"All levels of education","10-14","1996",0
"All levels of education","10-14","1997",0
"All levels of education","10-14","1998",0
"All levels of education","10-14","1999",1
"All levels of education","10-14","2000",0
"All levels of education","10-14","2001",0
"All levels of education","10-14","2002",0
"All levels of education","10-14","2003",0
"All levels of education","10-14","2004",2
"All levels of education","10-14","2005",0
"All levels of education","10-14","2006",0
"All levels of education","10-14","2007",0
"All levels of education","10-14","2008",1
"All levels of education","10-14","2009",1
"All levels of education","10-14","2010",0
"All levels of education","10-14","2011",0
"All levels of education","10-14","2012",0
"All levels of education","10-14","2013",1
"All levels of education","10-14","2014",0
"All levels of education","10-14","2015",1
"All levels of education","10-14","2016",0
"All levels of education","10-14","2017",0
"All levels of education","10-14","2018",1
"All levels of education","10-14","2019",0
"All levels of education","10-14","2020",0
"All levels of education","10-14","2021",0
"All levels of education","10-14","2022",1
"All levels of education","10-14","2023",0
"All levels of education","10-14","2024",0
"All levels of education","15-19","1992",696
"All levels of education","15-19","1993",526
"All levels of education","15-19","1994",494
"All levels of education","15-19","1995",486
"All levels of education","15-19","1996",419
"All levels of education","15-19","1997",373
"All levels of education","15-19","1998",287
"All levels of education","15-19","1999",295
"All levels of education","15-19","2000",245
"All levels of education","15-19","2001",217
"All levels of education","15-19","2002",195
"All levels of education","15-19","2003",190
"All levels of education","15-19","2004",203
"All levels of education","15-19","2005",219
"All levels of education","15-19","2006",233
"All levels of education","15-19","2007",279
"All levels of education","15-19","2008",241
"All levels of education","15-19","2009",197
"All levels of education","15-19","2010",161
"All levels of education","15-19","2011",146
"All levels of education","15-19","2012",138
"All levels of education","15-19","2013",121
"All levels of education","15-19","2014",112
"All levels of education","15-19","2015",93
"All levels of education","15-19","2016",77
"All levels of education","15-19","2017",72
"All levels of education","15-19","2018",57
"All levels of education","15-19","2019",63
"All levels of education","15-19","2020",61
"All levels of education","15-19","2021",47
"All levels of education","15-19","2022",44
"All levels of education","15-19","2023",46
"All levels of education","15-19","2024",33
"All levels of education","20-24","1992",5782
"All levels of education","20-24","1993",4872
"All levels of education","20-24","1994",4314
"All levels of education","20-24","1995",3869
"All levels of education","20-24","1996",3491
"All levels of education","20-24","1997",3086
"All levels of education","20-24","1998",2762
"All levels of education","20-24","1999",2675
"All levels of education","20-24","2000",2476
"All levels of education","20-24","2001",2310
"All levels of education","20-24","2002",2105
"All levels of education","20-24","2003",1979
"All levels of education","20-24","2004",2123
"All levels of education","20-24","2005",2026
"All levels of education","20-24","2006",2126
"All levels of education","20-24","2007",2090
"All levels of education","20-24","2008",2053
"All levels of education","20-24","2009",1951
"All levels of education","20-24","2010",1703
"All levels of education","20-24","2011",1514
"All levels of education","20-24","2012",1346
"All levels of education","20-24","2013",1265
"All levels of education","20-24","2014",1162
"All levels of education","20-24","2015",1032
"All levels of education","20-24","2016",854
"All levels of education","20-24","2017",763
"All levels of education","20-24","2018",699
"All levels of education","20-24","2019",664
"All levels of education","20-24","2020",607
"All levels of education","20-24","2021",511
"All levels of education","20-24","2022",509
"All levels of education","20-24","2023",495
"All levels of education","20-24","2024",430
"All levels of education","25-29","1992",5279
"All levels of education","25-29","1993",4541
"All levels of education","25-29","1994",4284
"All levels of education","25-29","1995",4172
"All levels of education","25-29","1996",4124
"All levels of education","25-29","1997",4091
"All levels of education","25-29","1998",3950
"All levels of education","25-29","1999",3835
"All levels of education","25-29","2000",3970
"All levels of education","25-29","2001",3727
"All levels of education","25-29","2002",3783
"All levels of education","25-29","2003",3761
"All levels of education","25-29","2004",4010
"All levels of education","25-29","2005",4047
"All levels of education","25-29","2006",4078
"All levels of education","25-29","2007",4291
"All levels of education","25-29","2008",4284
"All levels of education","25-29","2009",4241
"All levels of education","25-29","2010",4258
"All levels of education","25-29","2011",3736
"All levels of education","25-29","2012",3674
"All levels of education","25-29","2013",3570
"All levels of education","25-29","2014",3549
"All levels of education","25-29","2015",3516
"All levels of education","25-29","2016",3422
"All levels of education","25-29","2017",3252
"All levels of education","25-29","2018",3113
"All levels of education","25-29","2019",2922
"All levels of education","25-29","2020",2437
"All levels of education","25-29","2021",2270
"All levels of education","25-29","2022",1990
"All levels of education","25-29","2023",1786
"All levels of education","25-29","2024",1589
"All levels of education","30-34","1992",3151
"All levels of education","30-34","1993",2631
"All levels of education","30-34","1994",2464
"All levels of education","30-34","1995",2376
"All levels of education","30-34","1996",2442
"All levels of education","30-34","1997",2378
