"Educational level","Economical activity","Year","Women given birth"
"All women given birth","Economical activity total","1992",18031
"All women given birth","Economical activity total","1993",15107
"All women given birth","Economical activity total","1994",14025
"All women given birth","Economical activity total","1995",13340
"All women given birth","Economical activity total","1996",13109
"All women given birth","Economical activity total","1997",12491
"All women given birth","Economical activity total","1998",12072
"All women given birth","Economical activity total","1999",12333
"All women given birth","Economical activity total","2000",12983
"All women given birth","Economical activity total","2001",12539
"All women given birth","Economical activity total","2002",12890
"All women given birth","Economical activity total","2003",12932
"All women given birth","Economical activity total","2004",13868
"All women given birth","Economical activity total","2005",14230
"All women given birth","Economical activity total","2006",14731
"All women given birth","Economical activity total","2007",15651
"All women given birth","Economical activity total","2008",15837
"All women given birth","Economical activity total","2009",15602
"All women given birth","Economical activity total","2010",15753
"All women given birth","Economical activity total","2011",14706
"All women given birth","Economical activity total","2012",14160
"All women given birth","Economical activity total","2013",13780
"All women given birth","Economical activity total","2014",13620
"All women given birth","Economical activity total","2015",13873
"All women given birth","Economical activity total","2016",13828
"All women given birth","Economical activity total","2017",13442
"All women given birth","Economical activity total","2018",14044
"All women given birth","Economical activity total","2019",13735
"All women given birth","Economical activity total","2020",12849
"All women given birth","Economical activity total","2021",12902
"All women given birth","Economical activity total","2022",11396
"All women given birth","Economical activity total","2023",10631
"All women given birth","Economical activity total","2024",9404
"All women given birth","Employed","1992",14507
"All women given birth","Employed","1993",10350
"All women given birth","Employed","1994",9128
"All women given birth","Employed","1995",8791
"All women given birth","Employed","1996",8559
"All women given birth","Employed","1997",7920
"All women given birth","Employed","1998",7641
"All women given birth","Employed","1999",7664
"All women given birth","Employed","2000",7959
"All women given birth","Employed","2001",7702
"All women given birth","Employed","2002",8099
"All women given birth","Employed","2003",8405
"All women given birth","Employed","2004",9270
"All women given birth","Employed","2005",9835
"All women given birth","Employed","2006",10623
"All women given birth","Employed","2007",11723
"All women given birth","Employed","2008",12118
"All women given birth","Employed","2009",11704
"All women given birth","Employed","2010",11166
"All women given birth","Employed","2011",10303
"All women given birth","Employed","2012",10162
"All women given birth","Employed","2013",10016
"All women given birth","Employed","2014",10066
"All women given birth","Employed","2015",10601
"All women given birth","Employed","2016",10831
"All women given birth","Employed","2017",10791
"All women given birth","Employed","2018",11305
"All women given birth","Employed","2019",11129
"All women given birth","Employed","2020",10236
"All women given birth","Employed","2021",10257
"All women given birth","Employed","2022",8989
"All women given birth","Employed","2023",8333
"All women given birth","Employed","2024",7362
"All women given birth","Unemployed, not working","1992",54
"All women given birth","Unemployed, not working","1993",522
"All women given birth","Unemployed, not working","1994",1158
"All women given birth","Unemployed, not working","1995",972
"All women given birth","Unemployed, not working","1996",1096
"All women given birth","Unemployed, not working","1997",1018
"All women given birth","Unemployed, not working","1998",878
"All women given birth","Unemployed, not working","1999",982
"All women given birth","Unemployed, not working","2000",1008
"All women given birth","Unemployed, not working","2001",970
"All women given birth","Unemployed, not working","2002",944
"All women given birth","Unemployed, not working","2003",819
"All women given birth","Unemployed, not working","2004",774
"All women given birth","Unemployed, not working","2005",702
"All women given birth","Unemployed, not working","2006",530
"All women given birth","Unemployed, not working","2007",523
"All women given birth","Unemployed, not working","2008",419
"All women given birth","Unemployed, not working","2009",705
"All women given birth","Unemployed, not working","2010",1093
"All women given birth","Unemployed, not working","2011",930
"All women given birth","Unemployed, not working","2012",858
"All women given birth","Unemployed, not working","2013",745
"All women given birth","Unemployed, not working","2014",643
"All women given birth","Unemployed, not working","2015",600
"All women given birth","Unemployed, not working","2016",518
"All women given birth","Unemployed, not working","2017",457
"All women given birth","Unemployed, not working","2018",491
"All women given birth","Unemployed, not working","2019",448
"All women given birth","Unemployed, not working","2020",448
"All women given birth","Unemployed, not working","2021",581
"All women given birth","Unemployed, not working","2022",449
"All women given birth","Unemployed, not working","2023",506
"All women given birth","Unemployed, not working","2024",449
"All women given birth","Conscript","1992",1
"All women given birth","Conscript","1993",0
"All women given birth","Conscript","1994",5
"All women given birth","Conscript","1995",1
"All women given birth","Conscript","1996",0
"All women given birth","Conscript","1997",0
"All women given birth","Conscript","1998",0
"All women given birth","Conscript","1999",0
"All women given birth","Conscript","2000",0
"All women given birth","Conscript","2001",0
"All women given birth","Conscript","2002",0
"All women given birth","Conscript","2003",0
"All women given birth","Conscript","2004",0
"All women given birth","Conscript","2005",0
"All women given birth","Conscript","2006",0
"All women given birth","Conscript","2007",0
"All women given birth","Conscript","2008",0
"All women given birth","Conscript","2009",0
"All women given birth","Conscript","2010",0
"All women given birth","Conscript","2011",1
"All women given birth","Conscript","2012",0
"All women given birth","Conscript","2013",0
"All women given birth","Conscript","2014",0
"All women given birth","Conscript","2015",0
"All women given birth","Conscript","2016",2
"All women given birth","Conscript","2017",0
"All women given birth","Conscript","2018",1
"All women given birth","Conscript","2019",0
"All women given birth","Conscript","2020",1
"All women given birth","Conscript","2021",1
"All women given birth","Conscript","2022",4
"All women given birth","Conscript","2023",2
"All women given birth","Conscript","2024",0
"All women given birth","In prison","1992",2
"All women given birth","In prison","1993",3
"All women given birth","In prison","1994",4
"All women given birth","In prison","1995",0
"All women given birth","In prison","1996",1
"All women given birth","In prison","1997",1
"All women given birth","In prison","1998",3
"All women given birth","In prison","1999",3
"All women given birth","In prison","2000",3
"All women given birth","In prison","2001",3
"All women given birth","In prison","2002",6
"All women given birth","In prison","2003",2
"All women given birth","In prison","2004",2
"All women given birth","In prison","2005",3
"All women given birth","In prison","2006",3
"All women given birth","In prison","2007",5
"All women given birth","In prison","2008",7
"All women given birth","In prison","2009",4
"All women given birth","In prison","2010",5
"All women given birth","In prison","2011",7
"All women given birth","In prison","2012",0
"All women given birth","In prison","2013",6
"All women given birth","In prison","2014",3
"All women given birth","In prison","2015",4
"All women given birth","In prison","2016",3
"All women given birth","In prison","2017",2
"All women given birth","In prison","2018",2
"All women given birth","In prison","2019",1
"All women given birth","In prison","2020",2
"All women given birth","In prison","2021",2
"All women given birth","In prison","2022",2
"All women given birth","In prison","2023",7
"All women given birth","In prison","2024",2
"All women given birth","Student, university student","1992",922
"All women given birth","Student, university student","1993",835
"All women given birth","Student, university student","1994",764
"All women given birth","Student, university student","1995",735
"All women given birth","Student, university student","1996",758
"All women given birth","Student, university student","1997",772
"All women given birth","Student, university student","1998",804
"All women given birth","Student, university student","1999",970
"All women given birth","Student, university student","2000",1103
"All women given birth","Student, university student","2001",1191
"All women given birth","Student, university student","2002",1154
"All women given birth","Student, university student","2003",1182
"All women given birth","Student, university student","2004",1264
"All women given birth","Student, university student","2005",1222
"All women given birth","Student, university student","2006",1115
"All women given birth","Student, university student","2007",989
"All women given birth","Student, university student","2008",965
"All women given birth","Student, university student","2009",903
"All women given birth","Student, university student","2010",888
"All women given birth","Student, university student","2011",833
"All women given birth","Student, university student","2012",755
"All women given birth","Student, university student","2013",689
"All women given birth","Student, university student","2014",630
"All women given birth","Student, university student","2015",569
"All women given birth","Student, university student","2016",483
"All women given birth","Student, university student","2017",366
"All women given birth","Student, university student","2018",369
"All women given birth","Student, university student","2019",313
"All women given birth","Student, university student","2020",307
"All women given birth","Student, university student","2021",320
"All women given birth","Student, university student","2022",267
"All women given birth","Student, university student","2023",198
"All women given birth","Student, university student","2024",185
"All women given birth","Retired, person incapable of work","1992",18
"All women given birth","Retired, person incapable of work","1993",27
"All women given birth","Retired, person incapable of work","1994",39
"All women given birth","Retired, person incapable of work","1995",34
"All women given birth","Retired, person incapable of work","1996",43
"All women given birth","Retired, person incapable of work","1997",53
"All women given birth","Retired, person incapable of work","1998",59
"All women given birth","Retired, person incapable of work","1999",65
"All women given birth","Retired, person incapable of work","2000",63
"All women given birth","Retired, person incapable of work","2001",56
"All women given birth","Retired, person incapable of work","2002",63
"All women given birth","Retired, person incapable of work","2003",63
"All women given birth","Retired, person incapable of work","2004",56
"All women given birth","Retired, person incapable of work","2005",50
"All women given birth","Retired, person incapable of work","2006",52
"All women given birth","Retired, person incapable of work","2007",54
"All women given birth","Retired, person incapable of work","2008",54
"All women given birth","Retired, person incapable of work","2009",62
"All women given birth","Retired, person incapable of work","2010",64
"All women given birth","Retired, person incapable of work","2011",76
"All women given birth","Retired, person incapable of work","2012",87
"All women given birth","Retired, person incapable of work","2013",81
"All women given birth","Retired, person incapable of work","2014",73
"All women given birth","Retired, person incapable of work","2015",71
"All women given birth","Retired, person incapable of work","2016",67
"All women given birth","Retired, person incapable of work","2017",56
"All women given birth","Retired, person incapable of work","2018",58
"All women given birth","Retired, person incapable of work","2019",34
"All women given birth","Retired, person incapable of work","2020",53
"All women given birth","Retired, person incapable of work","2021",34
"All women given birth","Retired, person incapable of work","2022",33
"All women given birth","Retired, person incapable of work","2023",36
"All women given birth","Retired, person incapable of work","2024",31
"All women given birth","Staying at home","1992",2342
"All women given birth","Staying at home","1993",3334
"All women given birth","Staying at home","1994",2913
"All women given birth","Staying at home","1995",2773
"All women given birth","Staying at home","1996",2636
"All women given birth","Staying at home","1997",2715
"All women given birth","Staying at home","1998",2671
"All women given birth","Staying at home","1999",2636
"All women given birth","Staying at home","2000",2840
"All women given birth","Staying at home","2001",2616
"All women given birth","Staying at home","2002",2621
"All women given birth","Staying at home","2003",2454
"All women given birth","Staying at home","2004",2494
"All women given birth","Staying at home","2005",2408
"All women given birth","Staying at home","2006",2400
"All women given birth","Staying at home","2007",2349
"All women given birth","Staying at home","2008",2266
"All women given birth","Staying at home","2009",2221
"All women given birth","Staying at home","2010",2533
"All women given birth","Staying at home","2011",2556
"All women given birth","Staying at home","2012",2293
"All women given birth","Staying at home","2013",2237
"All women given birth","Staying at home","2014",2199
"All women given birth","Staying at home","2015",2022
"All women given birth","Staying at home","2016",1918
"All women given birth","Staying at home","2017",1762
"All women given birth","Staying at home","2018",1815
"All women given birth","Staying at home","2019",1798
"All women given birth","Staying at home","2020",1789
"All women given birth","Staying at home","2021",1693
"All women given birth","Staying at home","2022",1630
"All women given birth","Staying at home","2023",1535
"All women given birth","Staying at home","2024",1351
"All women given birth","Economical activity unknown","1992",185
"All women given birth","Economical activity unknown","1993",36
"All women given birth","Economical activity unknown","1994",14
"All women given birth","Economical activity unknown","1995",34
"All women given birth","Economical activity unknown","1996",16
"All women given birth","Economical activity unknown","1997",12
"All women given birth","Economical activity unknown","1998",16
"All women given birth","Economical activity unknown","1999",13
"All women given birth","Economical activity unknown","2000",7
"All women given birth","Economical activity unknown","2001",1
"All women given birth","Economical activity unknown","2002",3
"All women given birth","Economical activity unknown","2003",7
"All women given birth","Economical activity unknown","2004",8
"All women given birth","Economical activity unknown","2005",10
"All women given birth","Economical activity unknown","2006",8
"All women given birth","Economical activity unknown","2007",8
"All women given birth","Economical activity unknown","2008",8
"All women given birth","Economical activity unknown","2009",3
"All women given birth","Economical activity unknown","2010",4
"All women given birth","Economical activity unknown","2011",0
"All women given birth","Economical activity unknown","2012",5
"All women given birth","Economical activity unknown","2013",6
"All women given birth","Economical activity unknown","2014",6
"All women given birth","Economical activity unknown","2015",6
"All women given birth","Economical activity unknown","2016",6
"All women given birth","Economical activity unknown","2017",8
"All women given birth","Economical activity unknown","2018",3
"All women given birth","Economical activity unknown","2019",12
"All women given birth","Economical activity unknown","2020",13
"All women given birth","Economical activity unknown","2021",14
"All women given birth","Economical activity unknown","2022",22
"All women given birth","Economical activity unknown","2023",14
"All women given birth","Economical activity unknown","2024",24
"Basic education or lower","Economical activity total","1992",2024
"Basic education or lower","Economical activity total","1993",1941
"Basic education or lower","Economical activity total","1994",2044
"Basic education or lower","Economical activity total","1995",2057
"Basic education or lower","Economical activity total","1996",2112
"Basic education or lower","Economical activity total","1997",2074
"Basic education or lower","Economical activity total","1998",1982
"Basic education or lower","Economical activity total","1999",2144
"Basic education or lower","Economical activity total","2000",2205
"Basic education or lower","Economical activity total","2001",2180
"Basic education or lower","Economical activity total","2002",2216
"Basic education or lower","Economical activity total","2003",2222
"Basic education or lower","Economical activity total","2004",2305
"Basic education or lower","Economical activity total","2005",2350
"Basic education or lower","Economical activity total","2006",2345
"Basic education or lower","Economical activity total","2007",2529
"Basic education or lower","Economical activity total","2008",2507
"Basic education or lower","Economical activity total","2009",2338
"Basic education or lower","Economical activity total","2010",2228
"Basic education or lower","Economical activity total","2011",2128
"Basic education or lower","Economical activity total","2012",1987
"Basic education or lower","Economical activity total","2013",1941
"Basic education or lower","Economical activity total","2014",1792
"Basic education or lower","Economical activity total","2015",1734
"Basic education or lower","Economical activity total","2016",1515
"Basic education or lower","Economical activity total","2017",1454
"Basic education or lower","Economical activity total","2018",1585
"Basic education or lower","Economical activity total","2019",1467
"Basic education or lower","Economical activity total","2020",1448
"Basic education or lower","Economical activity total","2021",1296
"Basic education or lower","Economical activity total","2022",1188
"Basic education or lower","Economical activity total","2023",1139
"Basic education or lower","Economical activity total","2024",996
"Basic education or lower","Employed","1992",1281
