"Type of data","Self-estimated health","Sex","Age group","Year","Self-estimated health"
"Weighted","Good or reasonably good","Men and women","All age groups (16-64)","1990",27.3
"Weighted","Good or reasonably good","Men and women","All age groups (16-64)","1992",33.3
"Weighted","Good or reasonably good","Men and women","All age groups (16-64)","1994",33.5
"Weighted","Good or reasonably good","Men and women","All age groups (16-64)","1996",36.3
"Weighted","Good or reasonably good","Men and women","All age groups (16-64)","1998",36.4
"Weighted","Good or reasonably good","Men and women","All age groups (16-64)","2000",38.7
"Weighted","Good or reasonably good","Men and women","All age groups (16-64)","2002",41.9
"Weighted","Good or reasonably good","Men and women","All age groups (16-64)","2004",43.0
"Weighted","Good or reasonably good","Men and women","All age groups (16-64)","2006",46.6
"Weighted","Good or reasonably good","Men and women","All age groups (16-64)","2008",51.3
"Weighted","Good or reasonably good","Men and women","All age groups (16-64)","2010",48.9
"Weighted","Good or reasonably good","Men and women","All age groups (16-64)","2012",52.2
"Weighted","Good or reasonably good","Men and women","All age groups (16-64)","2014",53.9
"Weighted","Good or reasonably good","Men and women","All age groups (16-64)","2016",54.1
"Weighted","Good or reasonably good","Men and women","All age groups (16-64)","2018",51.0
"Weighted","Good or reasonably good","Men and women","All age groups (16-64)","2020",58.1
"Weighted","Good or reasonably good","Men and women","All age groups (16-64)","2022",59.2
"Weighted","Good or reasonably good","Men and women","All age groups (16-64)","2024",56.9
"Weighted","Good or reasonably good","Men and women","16-24","1990",44.6
"Weighted","Good or reasonably good","Men and women","16-24","1992",60.8
"Weighted","Good or reasonably good","Men and women","16-24","1994",52.3
"Weighted","Good or reasonably good","Men and women","16-24","1996",62.1
"Weighted","Good or reasonably good","Men and women","16-24","1998",60.5
"Weighted","Good or reasonably good","Men and women","16-24","2000",66.0
"Weighted","Good or reasonably good","Men and women","16-24","2002",66.0
"Weighted","Good or reasonably good","Men and women","16-24","2004",66.0
"Weighted","Good or reasonably good","Men and women","16-24","2006",64.9
"Weighted","Good or reasonably good","Men and women","16-24","2008",74.4
"Weighted","Good or reasonably good","Men and women","16-24","2010",70.8
"Weighted","Good or reasonably good","Men and women","16-24","2012",70.2
"Weighted","Good or reasonably good","Men and women","16-24","2014",77.5
"Weighted","Good or reasonably good","Men and women","16-24","2016",71.8
"Weighted","Good or reasonably good","Men and women","16-24","2018",66.2
"Weighted","Good or reasonably good","Men and women","16-24","2020",76.0
"Weighted","Good or reasonably good","Men and women","16-24","2022",72.8
"Weighted","Good or reasonably good","Men and women","16-24","2024",62.9
"Weighted","Good or reasonably good","Men and women","25-34","1990",36.4
"Weighted","Good or reasonably good","Men and women","25-34","1992",41.8
"Weighted","Good or reasonably good","Men and women","25-34","1994",47.6
"Weighted","Good or reasonably good","Men and women","25-34","1996",46.3
"Weighted","Good or reasonably good","Men and women","25-34","1998",47.5
"Weighted","Good or reasonably good","Men and women","25-34","2000",54.0
"Weighted","Good or reasonably good","Men and women","25-34","2002",56.5
"Weighted","Good or reasonably good","Men and women","25-34","2004",59.9
"Weighted","Good or reasonably good","Men and women","25-34","2006",62.8
"Weighted","Good or reasonably good","Men and women","25-34","2008",70.1
"Weighted","Good or reasonably good","Men and women","25-34","2010",65.5
"Weighted","Good or reasonably good","Men and women","25-34","2012",68.8
"Weighted","Good or reasonably good","Men and women","25-34","2014",70.4
"Weighted","Good or reasonably good","Men and women","25-34","2016",65.8
"Weighted","Good or reasonably good","Men and women","25-34","2018",64.0
"Weighted","Good or reasonably good","Men and women","25-34","2020",73.6
"Weighted","Good or reasonably good","Men and women","25-34","2022",74.0
"Weighted","Good or reasonably good","Men and women","25-34","2024",68.0
"Weighted","Good or reasonably good","Men and women","35-44","1990",28.9
"Weighted","Good or reasonably good","Men and women","35-44","1992",32.5
"Weighted","Good or reasonably good","Men and women","35-44","1994",31.6
"Weighted","Good or reasonably good","Men and women","35-44","1996",32.9
"Weighted","Good or reasonably good","Men and women","35-44","1998",33.1
"Weighted","Good or reasonably good","Men and women","35-44","2000",35.3
"Weighted","Good or reasonably good","Men and women","35-44","2002",41.0
"Weighted","Good or reasonably good","Men and women","35-44","2004",41.6
"Weighted","Good or reasonably good","Men and women","35-44","2006",48.4
"Weighted","Good or reasonably good","Men and women","35-44","2008",51.8
"Weighted","Good or reasonably good","Men and women","35-44","2010",50.1
"Weighted","Good or reasonably good","Men and women","35-44","2012",57.1
"Weighted","Good or reasonably good","Men and women","35-44","2014",56.8
"Weighted","Good or reasonably good","Men and women","35-44","2016",63.4
"Weighted","Good or reasonably good","Men and women","35-44","2018",55.5
"Weighted","Good or reasonably good","Men and women","35-44","2020",62.7
"Weighted","Good or reasonably good","Men and women","35-44","2022",60.9
"Weighted","Good or reasonably good","Men and women","35-44","2024",63.2
"Weighted","Good or reasonably good","Men and women","45-54","1990",15.7
"Weighted","Good or reasonably good","Men and women","45-54","1992",15.6
"Weighted","Good or reasonably good","Men and women","45-54","1994",18.5
"Weighted","Good or reasonably good","Men and women","45-54","1996",22.6
"Weighted","Good or reasonably good","Men and women","45-54","1998",27.0
"Weighted","Good or reasonably good","Men and women","45-54","2000",21.1
"Weighted","Good or reasonably good","Men and women","45-54","2002",25.2
"Weighted","Good or reasonably good","Men and women","45-54","2004",27.3
"Weighted","Good or reasonably good","Men and women","45-54","2006",30.4
"Weighted","Good or reasonably good","Men and women","45-54","2008",34.8
"Weighted","Good or reasonably good","Men and women","45-54","2010",34.1
"Weighted","Good or reasonably good","Men and women","45-54","2012",39.6
"Weighted","Good or reasonably good","Men and women","45-54","2014",42.7
"Weighted","Good or reasonably good","Men and women","45-54","2016",43.2
"Weighted","Good or reasonably good","Men and women","45-54","2018",40.6
"Weighted","Good or reasonably good","Men and women","45-54","2020",50.8
"Weighted","Good or reasonably good","Men and women","45-54","2022",53.8
"Weighted","Good or reasonably good","Men and women","45-54","2024",54.2
"Weighted","Good or reasonably good","Men and women","55-64","1990",10.8
"Weighted","Good or reasonably good","Men and women","55-64","1992",11.8
"Weighted","Good or reasonably good","Men and women","55-64","1994",14.6
"Weighted","Good or reasonably good","Men and women","55-64","1996",15.7
"Weighted","Good or reasonably good","Men and women","55-64","1998",12.6
"Weighted","Good or reasonably good","Men and women","55-64","2000",14.3
"Weighted","Good or reasonably good","Men and women","55-64","2002",17.1
"Weighted","Good or reasonably good","Men and women","55-64","2004",15.5
"Weighted","Good or reasonably good","Men and women","55-64","2006",22.3
"Weighted","Good or reasonably good","Men and women","55-64","2008",21.0
"Weighted","Good or reasonably good","Men and women","55-64","2010",22.8
"Weighted","Good or reasonably good","Men and women","55-64","2012",25.9
"Weighted","Good or reasonably good","Men and women","55-64","2014",25.2
"Weighted","Good or reasonably good","Men and women","55-64","2016",29.1
"Weighted","Good or reasonably good","Men and women","55-64","2018",32.8
"Weighted","Good or reasonably good","Men and women","55-64","2020",32.7
"Weighted","Good or reasonably good","Men and women","55-64","2022",39.1
"Weighted","Good or reasonably good","Men and women","55-64","2024",37.0
"Weighted","Good or reasonably good","Men","All age groups (16-64)","1990",28.9
"Weighted","Good or reasonably good","Men","All age groups (16-64)","1992",37.6
"Weighted","Good or reasonably good","Men","All age groups (16-64)","1994",37.1
"Weighted","Good or reasonably good","Men","All age groups (16-64)","1996",39.4
"Weighted","Good or reasonably good","Men","All age groups (16-64)","1998",38.7
"Weighted","Good or reasonably good","Men","All age groups (16-64)","2000",41.0
"Weighted","Good or reasonably good","Men","All age groups (16-64)","2002",44.3
"Weighted","Good or reasonably good","Men","All age groups (16-64)","2004",43.4
"Weighted","Good or reasonably good","Men","All age groups (16-64)","2006",46.5
"Weighted","Good or reasonably good","Men","All age groups (16-64)","2008",49.5
"Weighted","Good or reasonably good","Men","All age groups (16-64)","2010",46.8
"Weighted","Good or reasonably good","Men","All age groups (16-64)","2012",48.7
"Weighted","Good or reasonably good","Men","All age groups (16-64)","2014",53.1
"Weighted","Good or reasonably good","Men","All age groups (16-64)","2016",51.6
"Weighted","Good or reasonably good","Men","All age groups (16-64)","2018",49.8
"Weighted","Good or reasonably good","Men","All age groups (16-64)","2020",55.9
"Weighted","Good or reasonably good","Men","All age groups (16-64)","2022",58.5
"Weighted","Good or reasonably good","Men","All age groups (16-64)","2024",58.0
"Weighted","Good or reasonably good","Men","16-24","1990",35.9
"Weighted","Good or reasonably good","Men","16-24","1992",64.5
"Weighted","Good or reasonably good","Men","16-24","1994",57.3
"Weighted","Good or reasonably good","Men","16-24","1996",68.5
"Weighted","Good or reasonably good","Men","16-24","1998",59.2
"Weighted","Good or reasonably good","Men","16-24","2000",72.7
"Weighted","Good or reasonably good","Men","16-24","2002",67.2
"Weighted","Good or reasonably good","Men","16-24","2004",69.1
"Weighted","Good or reasonably good","Men","16-24","2006",66.4
"Weighted","Good or reasonably good","Men","16-24","2008",73.3
"Weighted","Good or reasonably good","Men","16-24","2010",69.4
"Weighted","Good or reasonably good","Men","16-24","2012",69.3
"Weighted","Good or reasonably good","Men","16-24","2014",79.3
"Weighted","Good or reasonably good","Men","16-24","2016",73.5
"Weighted","Good or reasonably good","Men","16-24","2018",66.5
"Weighted","Good or reasonably good","Men","16-24","2020",81.8
"Weighted","Good or reasonably good","Men","16-24","2022",73.7
"Weighted","Good or reasonably good","Men","16-24","2024",64.9
"Weighted","Good or reasonably good","Men","25-34","1990",41.8
"Weighted","Good or reasonably good","Men","25-34","1992",48.0
"Weighted","Good or reasonably good","Men","25-34","1994",51.4
"Weighted","Good or reasonably good","Men","25-34","1996",48.8
"Weighted","Good or reasonably good","Men","25-34","1998",49.1
"Weighted","Good or reasonably good","Men","25-34","2000",59.9
"Weighted","Good or reasonably good","Men","25-34","2002",62.6
"Weighted","Good or reasonably good","Men","25-34","2004",55.9
"Weighted","Good or reasonably good","Men","25-34","2006",59.8
"Weighted","Good or reasonably good","Men","25-34","2008",68.4
"Weighted","Good or reasonably good","Men","25-34","2010",62.1
"Weighted","Good or reasonably good","Men","25-34","2012",65.7
"Weighted","Good or reasonably good","Men","25-34","2014",67.3
"Weighted","Good or reasonably good","Men","25-34","2016",61.4
"Weighted","Good or reasonably good","Men","25-34","2018",62.2
"Weighted","Good or reasonably good","Men","25-34","2020",73.5
"Weighted","Good or reasonably good","Men","25-34","2022",73.8
"Weighted","Good or reasonably good","Men","25-34","2024",66.1
"Weighted","Good or reasonably good","Men","35-44","1990",32.7
"Weighted","Good or reasonably good","Men","35-44","1992",34.5
"Weighted","Good or reasonably good","Men","35-44","1994",30.2
"Weighted","Good or reasonably good","Men","35-44","1996",36.5
"Weighted","Good or reasonably good","Men","35-44","1998",35.4
"Weighted","Good or reasonably good","Men","35-44","2000",32.4
"Weighted","Good or reasonably good","Men","35-44","2002",41.6
"Weighted","Good or reasonably good","Men","35-44","2004",41.6
"Weighted","Good or reasonably good","Men","35-44","2006",46.5
"Weighted","Good or reasonably good","Men","35-44","2008",45.1
"Weighted","Good or reasonably good","Men","35-44","2010",45.0
"Weighted","Good or reasonably good","Men","35-44","2012",49.7
"Weighted","Good or reasonably good","Men","35-44","2014",53.9
"Weighted","Good or reasonably good","Men","35-44","2016",60.1
"Weighted","Good or reasonably good","Men","35-44","2018",54.4
"Weighted","Good or reasonably good","Men","35-44","2020",56.8
"Weighted","Good or reasonably good","Men","35-44","2022",56.4
"Weighted","Good or reasonably good","Men","35-44","2024",64.3
"Weighted","Good or reasonably good","Men","45-54","1990",18.2
"Weighted","Good or reasonably good","Men","45-54","1992",17.4
"Weighted","Good or reasonably good","Men","45-54","1994",24.0
"Weighted","Good or reasonably good","Men","45-54","1996",21.9
"Weighted","Good or reasonably good","Men","45-54","1998",29.9
"Weighted","Good or reasonably good","Men","45-54","2000",14.8
"Weighted","Good or reasonably good","Men","45-54","2002",21.6
"Weighted","Good or reasonably good","Men","45-54","2004",26.1
"Weighted","Good or reasonably good","Men","45-54","2006",30.0
"Weighted","Good or reasonably good","Men","45-54","2008",32.4
"Weighted","Good or reasonably good","Men","45-54","2010",30.6
"Weighted","Good or reasonably good","Men","45-54","2012",31.8
"Weighted","Good or reasonably good","Men","45-54","2014",41.0
"Weighted","Good or reasonably good","Men","45-54","2016",39.0
"Weighted","Good or reasonably good","Men","45-54","2018",36.9
"Weighted","Good or reasonably good","Men","45-54","2020",45.1
"Weighted","Good or reasonably good","Men","45-54","2022",54.2
"Weighted","Good or reasonably good","Men","45-54","2024",55.5
"Weighted","Good or reasonably good","Men","55-64","1990",8.6
