"Type of data","Self-estimated health","Sex","Education","Year","Self-estimated health"
"Weighted","Good or reasonably good","Men and women","Higher education","1990",42.4
"Weighted","Good or reasonably good","Men and women","Higher education","1992",41.4
"Weighted","Good or reasonably good","Men and women","Higher education","1994",29.6
"Weighted","Good or reasonably good","Men and women","Higher education","1996",50.8
"Weighted","Good or reasonably good","Men and women","Higher education","1998",41.9
"Weighted","Good or reasonably good","Men and women","Higher education","2000",46.1
"Weighted","Good or reasonably good","Men and women","Higher education","2002",48.9
"Weighted","Good or reasonably good","Men and women","Higher education","2004",56.3
"Weighted","Good or reasonably good","Men and women","Higher education","2006",62.3
"Weighted","Good or reasonably good","Men and women","Higher education","2008",64.5
"Weighted","Good or reasonably good","Men and women","Higher education","2010",64.0
"Weighted","Good or reasonably good","Men and women","Higher education","2012",67.2
"Weighted","Good or reasonably good","Men and women","Higher education","2014",68.9
"Weighted","Good or reasonably good","Men and women","Higher education","2016",68.7
"Weighted","Good or reasonably good","Men and women","Higher education","2018",61.4
"Weighted","Good or reasonably good","Men and women","Higher education","2020",71.2
"Weighted","Good or reasonably good","Men and women","Higher education","2022",67.5
"Weighted","Good or reasonably good","Men and women","Higher education","2024",64.9
"Weighted","Good or reasonably good","Men and women","Secondary education","1990",33.7
"Weighted","Good or reasonably good","Men and women","Secondary education","1992",34.6
"Weighted","Good or reasonably good","Men and women","Secondary education","1994",40.9
"Weighted","Good or reasonably good","Men and women","Secondary education","1996",38.7
"Weighted","Good or reasonably good","Men and women","Secondary education","1998",41.5
"Weighted","Good or reasonably good","Men and women","Secondary education","2000",40.7
"Weighted","Good or reasonably good","Men and women","Secondary education","2002",40.6
"Weighted","Good or reasonably good","Men and women","Secondary education","2004",43.4
"Weighted","Good or reasonably good","Men and women","Secondary education","2006",45.0
"Weighted","Good or reasonably good","Men and women","Secondary education","2008",50.1
"Weighted","Good or reasonably good","Men and women","Secondary education","2010",46.9
"Weighted","Good or reasonably good","Men and women","Secondary education","2012",49.7
"Weighted","Good or reasonably good","Men and women","Secondary education","2014",51.4
"Weighted","Good or reasonably good","Men and women","Secondary education","2016",51.8
"Weighted","Good or reasonably good","Men and women","Secondary education","2018",49.6
"Weighted","Good or reasonably good","Men and women","Secondary education","2020",57.2
"Weighted","Good or reasonably good","Men and women","Secondary education","2022",59.7
"Weighted","Good or reasonably good","Men and women","Secondary education","2024",48.2
"Weighted","Good or reasonably good","Men and women","Secondary-vocational education","1990",25.5
"Weighted","Good or reasonably good","Men and women","Secondary-vocational education","1992",33.8
"Weighted","Good or reasonably good","Men and women","Secondary-vocational education","1994",35.5
"Weighted","Good or reasonably good","Men and women","Secondary-vocational education","1996",37.1
"Weighted","Good or reasonably good","Men and women","Secondary-vocational education","1998",35.8
"Weighted","Good or reasonably good","Men and women","Secondary-vocational education","2000",36.8
"Weighted","Good or reasonably good","Men and women","Secondary-vocational education","2002",44.3
"Weighted","Good or reasonably good","Men and women","Secondary-vocational education","2004",41.4
"Weighted","Good or reasonably good","Men and women","Secondary-vocational education","2006",42.3
"Weighted","Good or reasonably good","Men and women","Secondary-vocational education","2008",45.9
"Weighted","Good or reasonably good","Men and women","Secondary-vocational education","2010",42.5
"Weighted","Good or reasonably good","Men and women","Secondary-vocational education","2012",45.4
"Weighted","Good or reasonably good","Men and women","Secondary-vocational education","2014",45.7
"Weighted","Good or reasonably good","Men and women","Secondary-vocational education","2016",46.0
"Weighted","Good or reasonably good","Men and women","Secondary-vocational education","2018",41.6
"Weighted","Good or reasonably good","Men and women","Secondary-vocational education","2020",46.5
"Weighted","Good or reasonably good","Men and women","Secondary-vocational education","2022",50.0
"Weighted","Good or reasonably good","Men and women","Secondary-vocational education","2024",56.3
"Weighted","Good or reasonably good","Men and women","Basic or lower education","1990",13.8
"Weighted","Good or reasonably good","Men and women","Basic or lower education","1992",23.3
"Weighted","Good or reasonably good","Men and women","Basic or lower education","1994",24.5
"Weighted","Good or reasonably good","Men and women","Basic or lower education","1996",23.1
"Weighted","Good or reasonably good","Men and women","Basic or lower education","1998",26.9
"Weighted","Good or reasonably good","Men and women","Basic or lower education","2000",33.8
"Weighted","Good or reasonably good","Men and women","Basic or lower education","2002",33.1
"Weighted","Good or reasonably good","Men and women","Basic or lower education","2004",33.9
"Weighted","Good or reasonably good","Men and women","Basic or lower education","2006",38.6
"Weighted","Good or reasonably good","Men and women","Basic or lower education","2008",45.1
"Weighted","Good or reasonably good","Men and women","Basic or lower education","2010",41.6
"Weighted","Good or reasonably good","Men and women","Basic or lower education","2012",45.1
"Weighted","Good or reasonably good","Men and women","Basic or lower education","2014",44.9
"Weighted","Good or reasonably good","Men and women","Basic or lower education","2016",44.0
"Weighted","Good or reasonably good","Men and women","Basic or lower education","2018",44.4
"Weighted","Good or reasonably good","Men and women","Basic or lower education","2020",48.4
"Weighted","Good or reasonably good","Men and women","Basic or lower education","2022",49.8
"Weighted","Good or reasonably good","Men and women","Basic or lower education","2024",47.7
"Weighted","Good or reasonably good","Men","Higher education","1990",46.3
"Weighted","Good or reasonably good","Men","Higher education","1992",48.1
"Weighted","Good or reasonably good","Men","Higher education","1994",28.9
"Weighted","Good or reasonably good","Men","Higher education","1996",51.9
"Weighted","Good or reasonably good","Men","Higher education","1998",45.1
"Weighted","Good or reasonably good","Men","Higher education","2000",53.7
"Weighted","Good or reasonably good","Men","Higher education","2002",50.5
"Weighted","Good or reasonably good","Men","Higher education","2004",53.0
"Weighted","Good or reasonably good","Men","Higher education","2006",65.7
"Weighted","Good or reasonably good","Men","Higher education","2008",63.8
"Weighted","Good or reasonably good","Men","Higher education","2010",60.1
"Weighted","Good or reasonably good","Men","Higher education","2012",61.6
"Weighted","Good or reasonably good","Men","Higher education","2014",71.7
"Weighted","Good or reasonably good","Men","Higher education","2016",65.8
"Weighted","Good or reasonably good","Men","Higher education","2018",59.5
"Weighted","Good or reasonably good","Men","Higher education","2020",72.1
"Weighted","Good or reasonably good","Men","Higher education","2022",67.8
"Weighted","Good or reasonably good","Men","Higher education","2024",65.3
"Weighted","Good or reasonably good","Men","Secondary education","1990",33.4
"Weighted","Good or reasonably good","Men","Secondary education","1992",35.5
"Weighted","Good or reasonably good","Men","Secondary education","1994",45.7
